Tarih,Kelime,Turkce_Anlam,Ornek_Cumle,Ornek_Cumle_Turkce,Es_Anlamli_1,Es_Anlamli_2,Es_Anlamli_3,Es_Anlamli_4,Zit_Anlamli_1,Zit_Anlamli_2,Zit_Anlamli_3,Zit_Anlamli_4
2024-01-01,beaut,güzel; çok hoş,The sunset was absolutely beautiful tonight.,Bu akşam gün batımı kesinlikle çok güzeldi.,gorgeous,lovely,stunning,attractive,ugly,hideous,unattractive,plain
2024-01-01,challenge,meydan okuma; zorluk,Learning a new language is always a challenge.,Yeni bir dil öğrenmek her zaman bir meydan okumadır.,difficulty,obstacle,test,trial,ease,simplicity,comfort,advantage
2024-01-01,discover,keşfetmek; bulmak,Scientists discover new species every year.,Bilim insanları her yıl yeni türler keşfeder.,find,uncover,reveal,detect,hide,conceal,lose,miss
2024-01-01,enormous,çok büyük; devasa,The elephant was enormous compared to other animals.,Fil diğer hayvanlara kıyasla devasaydı.,huge,massive,gigantic,immense,tiny,small,miniature,microscopic
2024-01-01,fascinating,büyüleyici; çok ilginç,The documentary about space was fascinating.,Uzay hakkındaki belgesel büyüleyiciydi.,captivating,intriguing,amazing,enchanting,boring,dull,uninteresting,tedious
2024-01-02,adventure,macera; serüven,Their trip to the mountains was a great adventure.,Dağlara yaptıkları gezi büyük bir maceraydı.,journey,expedition,quest,exploration,routine,boredom,monotony,safety
2024-01-02,brilliant,parlak; zeki,She came up with a brilliant solution to the problem.,Soruna parlak bir çözüm buldu.,bright,clever,intelligent,genius,dull,stupid,dim,foolish
2024-01-02,confident,kendinden emin; güvenli,He felt confident about his presentation.,Sunumu hakkında kendinden emindi.,assured,certain,self-assured,positive,insecure,doubtful,uncertain,nervous
2024-01-02,delicious,lezzetli; nefis,The homemade pizza was absolutely delicious.,Ev yapımı pizza kesinlikle nefisti.,tasty,flavorful,scrumptious,appetizing,disgusting,tasteless,bland,awful
2024-01-02,elegant,zarif; şık,She wore an elegant dress to the party.,Partiye zarif bir elbise giydi.,graceful,sophisticated,stylish,refined,clumsy,crude,vulgar,awkward
2024-01-03,fantastic,harika; muhteşem,The concert was fantastic last night.,Dün geceki konser harikaydı.,amazing,wonderful,marvelous,excellent,terrible,awful,horrible,dreadful
2024-01-03,generous,cömert; eli açık,My grandmother is very generous with her time.,Büyükannem zamanını ayırmada çok cömerttir.,kind,giving,charitable,benevolent,selfish,stingy,greedy,mean
2024-01-03,honest,dürüst; samimi,I appreciate your honest opinion about this.,Bu konudaki dürüst görüşün için teşekkürler.,truthful,sincere,genuine,frank,dishonest,lying,deceptive,FALSE
2024-01-03,incredible,inanılmaz; olağanüstü,The view from the mountain top was incredible.,Dağın tepesinden manzara inanılmazdı.,amazing,extraordinary,remarkable,astonishing,ordinary,believable,normal,common
2024-01-03,joyful,neşeli; sevinçli,The children were joyful during the celebration.,Çocuklar kutlama sırasında çok neşeliydi.,happy,cheerful,delighted,elated,sad,miserable,gloomy,sorrowful
2024-01-04,knowledge,bilgi; bilim,Reading books increases your knowledge.,Kitap okumak bilginizi artırır.,information,wisdom,understanding,learning,ignorance,stupidity,confusion,misunderstanding
2024-01-04,magnificent,muhteşem; görkemli,The palace was truly magnificent.,Saray gerçekten muhteşemdi.,splendid,grand,majestic,impressive,modest,plain,ordinary,humble
