Tarih,Kelime,Turkce_Anlam,Ornek_Cumle,Ornek_Cumle_Turkce,Es_Anlamli_1,Es_Anlamli_2,Es_Anlamli_3,Es_Anlamli_4,Zit_Anlamli_1,Zit_Anlamli_2,Zit_Anlamli_3,Zit_Anlamli_4
2025-07-16,amazing,şaşırtıcı; harika,The magic show was absolutely amazing.,Sihir gösterisi kesinlikle şaşırtıcıydı.,incredible,wonderful,fantastic,astonishing,boring,ordinary,dull,disappointing
2025-07-16,brave,cesur; yiğit,The firefighter was very brave during the rescue.,İtfaiyeci kurtarma sırasında çok cesurdu.,courageous,fearless,bold,heroic,cowardly,afraid,timid,scared
2025-07-16,create,yaratmak; oluşturmak,Artists create beautiful paintings every day.,Sanatçılar her gün güzel tablolar yaratır.,make,build,produce,design,destroy,demolish,ruin,break
2025-07-16,dream,rüya; hayal,She had a wonderful dream last night.,Dün gece harika bir rüya gördü.,vision,fantasy,aspiration,hope,reality,nightmare,fact,truth
2025-07-16,explore,keşfetmek; araştırmak,Children love to explore new places.,Çocuklar yeni yerleri keşfetmeyi sever.,investigate,discover,examine,search,ignore,avoid,neglect,overlook
2025-07-17,adventure,macera; serüven,Their trip to the mountains was a great adventure.,Dağlara yaptıkları gezi büyük bir maceraydı.,journey,expedition,quest,exploration,routine,boredom,monotony,safety
2025-07-17,brilliant,parlak; zeki,She came up with a brilliant solution to the problem.,Soruna parlak bir çözüm buldu.,bright,clever,intelligent,genius,dull,stupid,dim,foolish
2025-07-17,confident,kendinden emin; güvenli,He felt confident about his presentation.,Sunumu hakkında kendinden emindi.,assured,certain,self-assured,positive,insecure,doubtful,uncertain,nervous
2025-07-17,delicious,lezzetli; nefis,The homemade pizza was absolutely delicious.,Ev yapımı pizza kesinlikle nefisti.,tasty,flavorful,scrumptious,appetizing,disgusting,tasteless,bland,awful
2025-07-17,elegant,zarif; şık,She wore an elegant dress to the party.,Partiye zarif bir elbise giydi.,graceful,sophisticated,stylish,refined,clumsy,crude,vulgar,awkward
2025-07-18,fantastic,harika; muhteşem,The concert was fantastic last night.,Dün geceki konser harikaydı.,amazing,wonderful,marvelous,excellent,terrible,awful,horrible,dreadful
2025-07-18,generous,cömert; eli açık,My grandmother is very generous with her time.,Büyükannem zamanını ayırmada çok cömerttir.,kind,giving,charitable,benevolent,selfish,stingy,greedy,mean
2025-07-18,honest,dürüst; samimi,I appreciate your honest opinion about this.,Bu konudaki dürüst görüşün için teşekkürler.,truthful,sincere,genuine,frank,dishonest,lying,deceptive,false
2025-07-18,incredible,inanılmaz; olağanüstü,The view from the mountain top was incredible.,Dağın tepesinden manzara inanılmazdı.,amazing,extraordinary,remarkable,astonishing,ordinary,believable,normal,common
2025-07-18,joyful,neşeli; sevinçli,The children were joyful during the celebration.,Çocuklar kutlama sırasında çok neşeliydi.,happy,cheerful,delighted,elated,sad,miserable,gloomy,sorrowful
2025-07-19,knowledge,bilgi; bilim,Reading books increases your knowledge.,Kitap okumak bilginizi artırır.,information,wisdom,understanding,learning,ignorance,stupidity,confusion,misunderstanding
2025-07-19,magnificent,muhteşem; görkemli,The palace was truly magnificent.,Saray gerçekten muhteşemdi.,splendid,grand,majestic,impressive,modest,plain,ordinary,humble
2025-07-19,optimistic,iyimser; umutlu,She always remains optimistic about the future.,Gelecek hakkında her zaman iyimser kalır.,hopeful,positive,confident,cheerful,pessimistic,negative,hopeless,gloomy
2025-07-19,peaceful,huzurlu; sakin,The garden was a peaceful place to relax.,Bahçe dinlenmek için huzurlu bir yerdi.,calm,tranquil,serene,quiet,chaotic,noisy,turbulent,violent
2025-07-19,remarkable,dikkat çekici; olağanüstü,Her progress in English is remarkable.,İngilizcedeki ilerlemesi dikkat çekici.,outstanding,exceptional,notable,impressive,ordinary,unremarkable,common,typical
2025-07-20,successful,başarılı; muvaffak,The project was very successful.,Proje çok başarılıydı.,triumphant,victorious,prosperous,accomplished,unsuccessful,failed,defeated,losing
2025-07-20,thoughtful,düşünceli; nazik,He gave me a thoughtful gift for my birthday.,Doğum günüm için bana düşünceli bir hediye verdi.,considerate,caring,kind,attentive,thoughtless,inconsiderate,careless,selfish
2025-07-20,valuable,değerli; kıymetli,Time is the most valuable thing we have.,Zaman sahip olduğumuz en değerli şeydir.,precious,important,useful,worthwhile,worthless,useless,cheap,insignificant
2025-07-20,wonderful,harika; muhteşem,We had a wonderful time at the beach.,Sahilde harika vakit geçirdik.,marvelous,fantastic,excellent,delightful,terrible,awful,horrible,unpleasant
2025-07-20,creative,yaratıcı; özgün,She has a very creative approach to problem solving.,Problem çözmeye çok yaratıcı bir yaklaşımı var.,imaginative,innovative,artistic,original,uncreative,boring,conventional,ordinary
2025-07-21,ambitious,hırslı; azimli,He is very ambitious about his career goals.,Kariyer hedefleri konusunda çok hırslı.,determined,driven,motivated,aspiring,lazy,unmotivated,content,satisfied
2025-07-21,curious,meraklı; ilgili,Children are naturally curious about the world.,Çocuklar doğal olarak dünyayı merak ederler.,inquisitive,interested,eager,questioning,indifferent,uninterested,bored,apathetic
2025-07-21,diligent,çalışkan; gayretli,She is a diligent student who never misses class.,Dersi hiç kaçırmayan çalışkan bir öğrencidir.,hardworking,industrious,dedicated,persistent,lazy,careless,negligent,idle
2025-07-21,enthusiastic,coşkulu; hevesli,The team was enthusiastic about the new project.,Takım yeni proje konusunda coşkuluydu.,excited,passionate,eager,zealous,unenthusiastic,apathetic,indifferent,bored
2025-07-21,flexible,esnek; uyumlu,You need to be flexible when working in a team.,Takım halinde çalışırken esnek olmalısın.,adaptable,adjustable,versatile,accommodating,rigid,inflexible,stubborn,fixed
2025-07-22,grateful,minnettar; şükran duygusu,I am grateful for all your help.,Tüm yardımların için minnettarım.,thankful,appreciative,obliged,indebted,ungrateful,unappreciative,thankless,resentful
2025-07-22,humble,alçakgönüllü; mütevazı,Despite his success he remained humble.,Başarısına rağmen mütevazı kaldı.,modest,unassuming,down-to-earth,unpretentious,arrogant,proud,conceited,boastful
2025-07-22,independent,bağımsız; özgür,She became independent after graduating college.,Üniversiteden mezun olduktan sonra bağımsız oldu.,self-reliant,autonomous,free,self-sufficient,dependent,reliant,subordinate,controlled
2025-07-22,loyal,sadık; vefakâr,A dog is known to be loyal to its owner.,Köpeğin sahibine sadık olduğu bilinir.,faithful,devoted,committed,trustworthy,disloyal,unfaithful,treacherous,betraying
2025-07-22,patient,sabırlı; tahammüllü,Teachers need to be patient with their students.,Öğretmenlerin öğrencilerine karşı sabırlı olması gerekir.,tolerant,understanding,calm,persevering,impatient,intolerant,restless,hasty
2025-07-23,friendly,arkadaş canlısı; dostane,She is very friendly to everyone she meets.,Tanıştığı herkese çok arkadaş canlısıdır.,kind,warm,welcoming,sociable,unfriendly,hostile,cold,rude
2025-07-23,intelligent,zeki; akıllı,He is an intelligent student who learns quickly.,Hızlı öğrenen zeki bir öğrencidir.,smart,clever,bright,wise,stupid,dumb,foolish,ignorant
2025-07-23,journey,yolculuk; seyahat,Their journey to Europe was unforgettable.,Avrupa yolculukları unutulmazdı.,trip,voyage,travel,adventure,stay,arrival,destination,home
2025-07-23,nature,doğa; tabiat,We should protect nature for future generations.,Gelecek nesiller için doğayı korumalıyız.,environment,wilderness,outdoors,ecology,artificial,synthetic,man-made,urban
2025-07-23,opportunity,fırsat; şans,This job is a great opportunity for your career.,Bu iş kariyerin için büyük bir fırsat.,chance,possibility,opening,prospect,obstacle,barrier,disadvantage,hindrance
2025-07-24,perfect,mükemmel; kusursuz,The weather was perfect for a picnic.,Hava piknik için mükemmeldi.,flawless,ideal,excellent,outstanding,imperfect,flawed,terrible,awful
2025-07-24,quiet,sessiz; sakin,The library is a quiet place to study.,Kütüphane çalışmak için sessiz bir yerdir.,silent,peaceful,calm,tranquil,loud,noisy,chaotic,disturbing
2025-07-24,respect,saygı; hürmet,Children should respect their elders.,Çocuklar büyüklerine saygı göstermelidir.,honor,admire,value,appreciate,disrespect,ignore,despise,insult
2025-07-24,strong,güçlü; kuvvetli,The athlete is very strong and fast.,Sporcu çok güçlü ve hızlıdır.,powerful,mighty,robust,sturdy,weak,frail,fragile,feeble
2025-07-24,trust,güven; itimat,Trust is important in any relationship.,Güven her ilişkide önemlidir.,faith,confidence,belief,reliance,distrust,suspicion,doubt,mistrust
2025-07-25,unique,eşsiz; benzersiz,Every person has a unique personality.,Her insanın eşsiz bir kişiliği vardır.,special,distinctive,original,rare,common,ordinary,typical,usual
2025-07-25,victory,zafer; başarı,The team celebrated their victory.,Takım zaferlerini kutladı.,triumph,success,win,achievement,defeat,loss,failure,surrender
2025-07-25,wisdom,bilgelik; hikmet,Age brings wisdom and experience.,Yaş bilgelik ve deneyim getirir.,knowledge,insight,understanding,intelligence,ignorance,foolishness,stupidity,naivety
2025-07-25,young,genç; yeni,Young people are full of energy.,Genç insanlar enerji doludur.,youthful,fresh,new,juvenile,old,elderly,aged,mature
2025-07-25,zeal,heves; şevk,She works with great zeal and enthusiasm.,Büyük heves ve coşkuyla çalışır.,enthusiasm,passion,eagerness,fervor,apathy,indifference,laziness,boredom
